word,female_freq,male_freq,freq_diff
n't,46.36792556989232,41.710141189619264,4.657784380273057
--anonnamef,8.968448497666289,6.04930890162839,2.9191395960378994
'm,11.652194963569256,9.374865668608853,2.2773292949604027
--anonnamem,9.992385896816225,8.040344357300008,1.9520415395162178
nice,4.05894673480921,2.5244531979663694,1.5344935368428403
want,4.971248786527863,3.8452971312676585,1.125951655260205
gon,5.72120932568161,4.751260598339696,0.9699487273419134
god,2.112893187463146,1.169090167788863,0.943803019674283
's,70.18960016553109,69.25703180055517,0.9325683649759213
quite,4.721398247038801,3.8485536498408868,0.872844597197914
okay,5.860242359112512,5.164838457139656,0.6954039019728553
were,8.034064728873316,7.349311116061019,0.6847536128122975
'll,8.399639822659276,7.723810751982243,0.6758290706770334
even,2.3537474718478553,1.682968798644246,0.6707786732036092
feel,1.5637127054110838,0.9027069484988101,0.6610057569122737
thought,3.248874854730926,2.60586616229707,0.643008692433856
love,1.452895199352924,0.8173861618802357,0.6355090374726883
fine,1.6320024600668503,1.0342702988572225,0.5977321612096278
'd,6.301467779912343,5.71714400715913,0.5843237727532129
dad,1.7714444141843135,1.2055631758090168,0.5658812383752967
day,2.762668158409331,2.197498733214275,0.5651694251950561
kind,3.204302499895725,2.6879304303424165,0.5163720695533085
mum,2.0184325088674453,1.5051628845459957,0.5132696243214496
anyway,1.849957186004117,1.3495012967456959,0.5004558892584212
obviously,1.5907014707241411,1.107867618612176,0.48283385211196506
exactly,1.3518917897722393,0.877957407342277,0.47393438242996233
home,1.4627092958303993,1.0010538094102965,0.4616554864201028
lovely,1.173602370431436,0.7125262638222931,0.4610761066091429
bit,5.653737412398965,5.209778413450203,0.44395899894876223
little,2.9761247567944213,2.5413870945471553,0.43473766224726607
week,1.6131921084850225,1.1866753680842943,0.4265167404007282
always,2.427353195428921,2.0177389079720873,0.4096142874568338
night,1.452077357979801,1.0472963731501346,0.4047809848296664
having,1.4896980611434567,1.098098062892492,0.3915999982509648
went,3.6197659174421846,3.252610750940157,0.3671551665020276
funny,1.1646061153270835,0.7991496578701587,0.3654564574569248
ca,4.914817731782379,4.557823395089952,0.3569943366924271
might,2.7238206931859907,2.376607254741817,0.34721343844417385
work,2.589694707993827,2.2489517266712777,0.3407429813225491
weekend,0.6039758540512999,0.28201450844154746,0.3219613456097525
things,3.2967185750586188,2.9797144945036482,0.31700408055497054
never,2.5868322631878966,2.273049964113165,0.31378229907473143
though,2.6502149696049258,2.3420881578655997,0.3081268117393261
need,3.46601173929507,3.173151697753393,0.2928600415416769
bad,1.4721144716213133,1.1860240643696487,0.28609040725166457
baby,0.5029724444706153,0.21883804812092364,0.2841343963496916
weird,1.0370228611199028,0.7561636127035487,0.2808592484163541
hair,0.5254630822314965,0.2481467152799759,0.2773163669515206
wanted,1.068100833298575,0.791985317009057,0.276115516289518
christmas,0.8881757312115256,0.6128767954815153,0.2752989357300103
