word,old_freq,young_freq,freq_diff
n't,46.23894672523317,42.64868415448042,-3.590262570752749
've,15.005937352286745,12.932029780546694,-2.073907571740051
--anonnamem,10.062371021109305,8.267890410099023,-1.7944806110102824
--anonplace,7.042276254049504,5.306425325570603,-1.735850928478901
up,8.150889449959074,6.613415593761419,-1.5374738561976544
mean,6.4579946736762,5.051976962895376,-1.4060177107808247
used,3.065287817475415,1.7643247702678768,-1.3009630472075382
down,3.4628021997025558,2.2777051672073227,-1.185097032495233
sort,4.271665571426924,3.0881288069174087,-1.1835367645095154
could,6.108440263318692,4.9606221542696884,-1.1478181090490036
things,3.672165923056526,2.5904412605394307,-1.0817246625170953
put,4.349139372139407,3.2742011778605264,-1.074938194278881
now,5.813763128465857,4.7801543728128095,-1.0336087556530478
lovely,1.4157414773054797,0.4948852516348587,-0.920856225670621
were,8.191009811042322,7.272515317343066,-0.9184944936992565
other,3.1252377823124546,2.388115580086221,-0.7371222022262338
course,1.4360322346349395,0.7504545322073339,-0.6855777024276055
lot,3.1861100543008334,2.5192629740642016,-0.6668470802366318
went,3.7722362489768155,3.1150308364513535,-0.657205412525462
thought,3.295864605310183,2.6543335806825494,-0.6415310246276338
back,4.338532839899007,3.7427448589100645,-0.5957879809889426
suppose,1.2243627434026216,0.6293953993045825,-0.5949673440980391
years,1.9211657962392927,1.3288481671871462,-0.5923176290521466
little,3.0814281926238487,2.490679567684386,-0.5907486249394629
--anonnamef,8.090939485122034,7.517996336840311,-0.5729431482817224
out,6.30950322231061,5.751429730777939,-0.5580734915326708
big,2.2928555782289397,1.7519946733981524,-0.5408609048307873
're,14.770749028695281,14.27264758565494,-0.49810144304034054
another,1.6518521080482829,1.1792056279045786,-0.47264648014370425
must,1.433265313180922,0.9718358169137543,-0.4614294962671678
anyway,1.8524539134645315,1.4274889421449437,-0.42496497131958777
gone,1.2972250083584085,0.9197131346917363,-0.37751187366667216
take,2.617507695500294,2.2463194660843873,-0.3711882294159068
place,1.2026885253461534,0.8350838334495351,-0.3676046918966184
darling,0.4085820680432101,0.04203442114678869,-0.36654764689642144
'll,8.286468601205916,7.929373205130217,-0.3570953960756995
says,1.1284427996633577,0.7863239049192603,-0.3421188947440974
wo,1.4231199345161922,1.0906531140220104,-0.33246682049418186
car,1.2441923471564118,0.9202735936403602,-0.3239187535160516
absolutely,0.8637406472290434,0.5447660980623814,-0.318974549166662
coming,1.2953803940557305,0.9785613242972405,-0.31681906975848995
here,3.3668822559632923,3.0567431057944727,-0.31013915016881954
school,1.2630996437588629,0.9572638842495342,-0.3058357595093286
business,0.47498818293962347,0.16925860248440244,-0.30572958045522103
any,2.846701022608054,2.5495277572898893,-0.2971732653181647
quite,4.530833880953204,4.239311487390794,-0.29152239356240983
round,1.0661870669479703,0.7852029870220125,-0.28098407992595775
again,1.8095666309272644,1.530052929743108,-0.2795137011841564
keep,1.2192900540702567,0.947175623174305,-0.27211443089595166
took,0.9121617726743448,0.6467696267119218,-0.265392145962423
