word,young_freq,old_freq,freq_diff
'm,13.328274257223756,8.615271100658296,4.71300315656546
's,71.6569184173536,68.3056064745962,3.351311942757391
gon,6.182422662269679,4.646122274870589,1.5363003873990904
though,3.2086274808715363,1.9797323003493237,1.2288951805222126
shit,1.4319726137339344,0.26101292382895813,1.1709596899049761
fucking,1.5149205381302642,0.3550882532655438,1.1598322848647205
wan,2.30348627884402,1.1634904714142429,1.139995807429777
stuff,3.3599513969999752,2.4035324363896287,0.9564189606103466
pretty,1.6152426899339332,0.7549084033710326,0.8603342865629006
cool,1.2565489628146698,0.40212591798383657,0.8544230448308332
bad,1.808601027209161,0.9979363377488788,0.8106646894602823
weird,1.3686407525394395,0.5686023588005396,0.8000383937389
fuck,0.9555825074036627,0.1706268229977288,0.7849556844059339
mum,2.249121760827506,1.4798418243235454,0.7692799365039606
god,2.157206493253195,1.4019068700353936,0.7552996232178015
basically,1.2509443733284313,0.5510785229250971,0.6998658504033343
fine,1.7800176208293448,1.0809439813693955,0.6990736394599493
feel,1.685860517460538,0.9983974913245484,0.6874630261359898
obviously,1.7688084418568677,1.101234738698855,0.6675737031580127
love,1.5367784371265942,0.9310690692767959,0.6057093678497983
definitely,1.1495013036275143,0.5473892943197408,0.6021120093077735
good,6.899249657559582,6.29981899722155,0.5994306603380322
du,1.5317343065889795,0.938908680063178,0.5928256265258015
even,2.4200617401577804,1.8303185418323937,0.5897431983253867
literally,0.8384465871412783,0.253173313042576,0.5852732740987023
much,3.5628375364018083,2.994270166822306,0.5685673695795024
nice,3.776932854776119,3.2216188796273877,0.5553139751487315
kind,3.303345043188967,2.7655379932902155,0.5378070498987513
guess,0.9269991010238464,0.39474746077312395,0.5322516402507225
friends,1.0077051896256806,0.5187977726282295,0.4889074169974511
ever,1.337255051416504,0.8867983260125203,0.45045672540398374
uni,0.5240291169632989,0.10053147949595914,0.42349763746733976
man,1.072718427666047,0.6520711559967258,0.42064727166932125
guy,1.1158737667100835,0.6972642064123405,0.418609560297743
n,1.7615224755247578,1.3696261197385258,0.39189635578623205
never,2.6773123975761273,2.2951613461072875,0.38215105146883976
wait,0.8149073112990766,0.4334843611293651,0.38142295016971145
should,2.8611429327247495,2.483773158556128,0.3773697741686215
hate,0.5739099633908215,0.20060180541624872,0.37330815797457273
guys,0.5856796013119223,0.21259179838365672,0.3730878029282656
year,2.1779434743522774,1.8293962346810546,0.3485472396712228
sorry,1.5659223024550344,1.2192900540702567,0.3466322483847777
am,1.011067943317424,0.6700561454478378,0.34101179786958613
need,3.5236054099981393,3.2068619652059627,0.31674344479217664
person,1.1046645877376067,0.7885726143949089,0.3160919733426978
fun,0.6288349403559587,0.3140455850309549,0.31478935532500374
funny,1.1948984784660464,0.8808033295288163,0.31409514893723
pounds,0.8944924820036632,0.5847427339489734,0.3097497480546898
dad,1.7200485133265928,1.420353013062175,0.2996955002644177
sounds,0.817149147093572,0.5197200797795686,0.2974290673140034
